VENDOR,P-NO,P-NAME,PO-NO,DUE,PLACE,PRICE,QTY,RCV,REMAIN,LAST_RCV,EX-LOT,ISSUE,STS,DOC_NO,UNIT WEIGHT,DUE-TIME,PRIVILEDGE
TRT,11010-0865,FILTER-ASSY-AIR,E85423,12/22/2018,RKD,204.52,100,0,0,00/00/0000,N9LW025,11/29/2018,K,1811-E5286,0.853,08:00-09:00,FREEZONE
TRT,11010-0865,FILTER-ASSY-AIR,E85532,12/24/2018,RKD,204.52,100,0,0,00/00/0000,N9LW026,11/29/2018,K,1811-E5286,0.853,08:00-09:00,FREEZONE
TRT,11010-0865,FILTER-ASSY-AIR,E85641,12/25/2018,RKD,204.52,100,0,0,00/00/0000,N9LW027,11/29/2018,K,1811-E5286,0.853,08:00-09:00,FREEZONE
TRT,11010-0865,FILTER-ASSY-AIR,E85750,12/26/2018,RKD,204.52,100,0,0,00/00/0000,N9LW028,11/29/2018,K,1811-E5286,0.853,08:00-09:00,FREEZONE
TRT,11010-0865,FILTER-ASSY-AIR,E85859,12/27/2018,RKD,204.52,100,0,0,00/00/0000,N9LW029,11/29/2018,K,1811-E5286,0.853,08:00-09:00,FREEZONE
TRT,11010-0865,FILTER-ASSY-AIR,E85968,12/28/2018,RKD,204.52,100,0,0,00/00/0000,N9LW030,11/29/2018,K,1811-E5286,0.853,08:00-09:00,FREEZONE
TRT,11010-0865,FILTER-ASSY-AIR,E86393,12/27/2018,RKD,204.52,100,0,0,00/00/0000,N9RY002,11/29/2018,K,1811-E5287,0.853,08:00-09:00,FREEZONE
TRT,11010-0865,FILTER-ASSY-AIR,E86501,12/18/2018,RKD,204.52,20,0,0,00/00/0000,N9SA004,11/29/2018,K,1811-E5287,0.853,08:00-09:00,FREEZONE
TRT,11010-0865,FILTER-ASSY-AIR,E86609,12/27/2018,RKD,204.52,20,0,0,00/00/0000,N9SA005,11/29/2018,K,1811-E5287,0.853,08:00-09:00,FREEZONE
TRT,11010-0865,FILTER-ASSY-AIR,E86719,12/18/2018,RKD,204.52,100,0,0,00/00/0000,N9SB069,11/29/2018,K,1811-E5287,0.853,08:00-09:00,FREEZONE
TRT,11010-0865,FILTER-ASSY-AIR,E86829,12/19/2018,RKD,204.52,100,0,0,00/00/0000,N9SB070,11/29/2018,K,1811-E5287,0.853,08:00-09:00,FREEZONE
TRT,11010-0865,FILTER-ASSY-AIR,E86939,12/22/2018,RKD,204.52,100,0,0,00/00/0000,N9SB071,11/29/2018,K,1811-E5287,0.853,08:00-09:00,FREEZONE
TRT,11010-0865,FILTER-ASSY-AIR,E87049,12/25/2018,RKD,204.52,100,0,0,00/00/0000,N9SB072,11/29/2018,K,1811-E5287,0.853,08:00-09:00,FREEZONE
TRT,11010-0865,FILTER-ASSY-AIR,E87159,12/26/2018,RKD,204.52,100,0,0,00/00/0000,N9SB073,11/29/2018,K,1811-E5287,0.853,08:00-09:00,FREEZONE
TRT,11010-0865,FILTER-ASSY-AIR,E87269,12/28/2018,RKD,204.52,100,0,0,00/00/0000,N9SB074,11/29/2018,K,1811-E5287,0.853,08:00-09:00,FREEZONE
TRT,11010-0865,FILTER-ASSY-AIR,E87382,12/22/2018,RKD,204.52,20,0,0,00/00/0000,N9SC022,11/29/2018,K,1811-E5287,0.853,08:00-09:00,FREEZONE
TRT,11010-0865,FILTER-ASSY-AIR,E87496,12/26/2018,RKD,204.52,20,0,0,00/00/0000,N9SC023,11/29/2018,K,1811-E5287,0.853,08:00-09:00,FREEZONE
TRT,11010-0865,FILTER-ASSY-AIR,E87610,12/27/2018,RKD,204.52,20,0,0,00/00/0000,N9SC024,11/29/2018,K,1811-E5287,0.853,08:00-09:00,FREEZONE
TRT,11010-0865,FILTER-ASSY-AIR,E87724,12/28/2018,RKD,204.52,20,0,0,00/00/0000,N9SC025,11/29/2018,K,1811-E5287,0.853,08:00-09:00,FREEZONE
TRT,11038-0711,CASE-ASSY-AIR FILTER,E66918,12/17/2018,RKD,309.53,20,0,0,00/00/0000,J9BQ063,11/29/2018,K,1811-E5288,1.518,08:00-09:00,FREEZONE
TRT,11038-0711,CASE-ASSY-AIR FILTER,E67269,12/17/2018,RKD,309.53,20,0,0,00/00/0000,J9BQ064,11/29/2018,K,1811-E5288,1.518,08:00-09:00,FREEZONE
TRT,11038-0711,CASE-ASSY-AIR FILTER,E67620,12/18/2018,RKD,309.53,20,0,0,00/00/0000,J9BQ065,11/29/2018,K,1811-E5288,1.518,08:00-09:00,FREEZONE
TRT,11038-0711,CASE-ASSY-AIR FILTER,E67971,12/18/2018,RKD,309.53,20,0,0,00/00/0000,J9BQ066,11/29/2018,K,1811-E5288,1.518,08:00-09:00,FREEZONE
TRT,11038-0711,CASE-ASSY-AIR FILTER,E68322,12/19/2018,RKD,309.53,20,0,0,00/00/0000,J9BQ067,11/29/2018,K,1811-E5288,1.518,08:00-09:00,FREEZONE
TRT,11038-0711,CASE-ASSY-AIR FILTER,E68673,12/19/2018,RKD,309.53,20,0,0,00/00/0000,J9BQ068,11/29/2018,K,1811-E5288,1.518,08:00-09:00,FREEZONE
TRT,11038-0711,CASE-ASSY-AIR FILTER,E69024,12/20/2018,RKD,309.53,20,0,0,00/00/0000,J9BQ069,11/29/2018,K,1811-E5288,1.518,08:00-09:00,FREEZONE
TRT,11038-0711,CASE-ASSY-AIR FILTER,E69375,12/20/2018,RKD,309.53,20,0,0,00/00/0000,J9BQ070,11/29/2018,K,1811-E5288,1.518,08:00-09:00,FREEZONE
TRT,11038-0711,CASE-ASSY-AIR FILTER,E69726,12/21/2018,RKD,309.53,20,0,0,00/00/0000,J9BQ071,11/29/2018,K,1811-E5288,1.518,08:00-09:00,FREEZONE
TRT,11038-0711,CASE-ASSY-AIR FILTER,E70078,12/21/2018,RKD,309.53,20,0,0,00/00/0000,J9BQ072,11/29/2018,K,1811-E5288,1.518,08:00-09:00,FREEZONE
TRT,11038-0711,CASE-ASSY-AIR FILTER,E70429,12/22/2018,RKD,309.53,20,0,0,00/00/0000,J9BQ073,11/29/2018,K,1811-E5288,1.518,08:00-09:00,FREEZONE
TRT,11038-0711,CASE-ASSY-AIR FILTER,E70780,12/22/2018,RKD,309.53,20,0,0,00/00/0000,J9BQ074,11/29/2018,K,1811-E5288,1.518,08:00-09:00,FREEZONE
TRT,11038-0711,CASE-ASSY-AIR FILTER,E71131,12/24/2018,RKD,309.53,20,0,0,00/00/0000,J9BQ075,11/29/2018,K,1811-E5288,1.518,08:00-09:00,FREEZONE
TRT,11038-0711,CASE-ASSY-AIR FILTER,E71482,12/24/2018,RKD,309.53,20,0,0,00/00/0000,J9BQ076,11/29/2018,K,1811-E5288,1.518,08:00-09:00,FREEZONE
TRT,11038-0711,CASE-ASSY-AIR FILTER,E71833,12/25/2018,RKD,309.53,20,0,0,00/00/0000,J9BQ077,11/29/2018,K,1811-E5288,1.518,08:00-09:00,FREEZONE
TRT,11038-0711,CASE-ASSY-AIR FILTER,E72184,12/25/2018,RKD,309.53,20,0,0,00/00/0000,J9BQ078,11/29/2018,K,1811-E5288,1.518,08:00-09:00,FREEZONE
TRT,11038-0711,CASE-ASSY-AIR FILTER,E72535,12/26/2018,RKD,309.53,20,0,0,00/00/0000,J9BQ079,11/29/2018,K,1811-E5288,1.518,08:00-09:00,FREEZONE
TRT,11038-0711,CASE-ASSY-AIR FILTER,E72886,12/27/2018,RKD,309.53,20,0,0,00/00/0000,J9BQ080,11/29/2018,K,1811-E5288,1.518,08:00-09:00,FREEZONE
TRT,11038-0711,CASE-ASSY-AIR FILTER,E73237,12/28/2018,RKD,309.53,20,0,0,00/00/0000,J9BQ081,11/29/2018,K,1811-E5288,1.518,08:00-09:00,FREEZONE
TRT,16164-0012,CANISTER,E65015,12/21/2018,RKD,127.43,20,0,0,00/00/0000,H9LG031,11/29/2018,K,1811-E5289,0.236,08:00-09:00,FREEZONE
TRT,16164-0012,CANISTER,E65516,12/22/2018,RKD,127.43,20,0,0,00/00/0000,H9MD019,11/29/2018,K,1811-E5289,0.236,08:00-09:00,FREEZONE
TRT,16164-0012,CANISTER,E66045,12/28/2018,RKD,127.43,20,0,0,00/00/0000,H9MD020,11/29/2018,K,1811-E5289,0.236,08:00-09:00,FREEZONE
TRT,16164-0012,CANISTER,E66480,12/20/2018,RKD,127.43,20,0,0,00/00/0000,H9RM009,11/29/2018,K,1811-E5289,0.236,08:00-09:00,FREEZONE
TRT,16164-0012,CANISTER,E66663,12/21/2018,RKD,127.43,20,0,0,00/00/0000,J0AK002,11/29/2018,K,1811-E5289,0.236,08:00-09:00,FREEZONE
TRT,16164-0012,CANISTER,E66673,12/22/2018,RKD,127.43,20,0,0,00/00/0000,J0AK003,11/29/2018,K,1811-E5290,0.236,08:00-09:00,FREEZONE
TRT,16164-0012,CANISTER,E73380,12/24/2018,RKD,127.43,20,0,0,00/00/0000,J9EP020,11/29/2018,K,1811-E5290,0.236,08:00-09:00,FREEZONE
TRT,16164-0012,CANISTER,E76627,12/17/2018,RKD,127.43,20,0,0,00/00/0000,J9JQ003,11/29/2018,K,1811-E5290,0.236,08:00-09:00,FREEZONE
TRT,16164-0012,CANISTER,E77414,12/24/2018,RKD,127.43,20,0,0,00/00/0000,J9KE013,11/29/2018,K,1811-E5290,0.236,08:00-09:00,FREEZONE
TRT,16164-0012,CANISTER,E78087,12/20/2018,RKD,127.43,20,0,0,00/00/0000,J9RK002,11/29/2018,K,1811-E5290,0.236,08:00-09:00,FREEZONE
TRT,16164-0012,CANISTER,E87383,12/22/2018,RKD,127.43,20,0,0,00/00/0000,N9SC022,11/29/2018,K,1811-E5290,0.236,08:00-09:00,FREEZONE
